%LABEL: CD_BIN_90402
%TYPE: CONDIST
! MAY CONDIST MASTER
!PRODUCT NAME UPI INST VERSION KIT CH DIS ROOT SAVESET(S)
!------------------------------------------------------------------------------------------------------------------
"VAX TEAMDATA/FRANCAIS" ZKL Y V1.3 SUB N Y TDAFRANCAIS013 TDA013
"VAX TEAMDATA/NORSK" ZKM Y V1.3 SUB A Y TDANORSK013 TDA013
"VAX TEAMINFO/SVENSKA" AAAA Y V1.3 SUB1 N Y TDASVENSKA013 TDA013
"VAX WIDE AREA NETWORK DEVICE DRIVERS" AAAA Y V1.1 SUB1 U Y SYNC011 SYNC011
"VAX-11 RSX" 382A Y V2.4 SUB A Y RSX024 RSX024
"VAX/EDI (UK)" AAAA Y V1.0A SUB A Y VAXEDI010 VAXEDI010
"VAXCLUSTER CONSOLE SYSTEM" V01 Y V1.2 SUB A Y VCS012 VCS012
"VAXIMAGE APPLICATION SERVICES FOR VMS" 892A Y V1.0 SUB N Y VIS010 VIS010
"VAXIMAGE SCANNING APPLICATION" VPFA Y V1.0 SUB N Y PSCAN010 PSCAN010
"VAXLAB SOFTWARE LIBRARY" AAAA Y V1.3A SUB A Y VSL013 VSL013
"VMS OPERATING SYSTEM" 001 N V5.1 SUB A Y VMS051 VMS051
"VMS OPERATING SYSTEM" 001 N V5.1-B SUB U Y VMSU1051 VMSU1051
"VMS OPERATING SYSTEM" 001 N V5.0 SUB A Y VMS050 VMS050
"VMS OPERATING SYSTEM" 001 N V5.0-1 SUB A Y VMS050 VMS050
"VMS OPERATING SYSTEM" 001 N V5.0-2 SUB A Y VMS050 VMS050
"VMS WORKSTATION SOFTWARE" A96A N V4.0A SUB A Y VWS040 VWS040,SIGHT040,HCUIS040,VWSDEMO040
"VMS WORKSTATION SOFTWARE" A96A N V4.0 SUB A Y VWS040 VWS040,SIGHT040,HCUIS040,VWS040
"VMS WORKSTATION SOFTWARE/JAPANESE" A96J Y V4.0 SUB A Y JVWS040 JVWS040
"VMS/JAPANESE" 001 N V5.0 SUB A Y JVMS050 JVMS050 
"VMS/SNA" 362 Y V1.3 SUB1 A Y SNAVMS013 SNAVMS013
"VMS/ULTRIX CONNECTION (TM)" VHR Y V1.0 SUB1 A Y UCX010 UCX010
"X25ROUTER" S02 Y V1.0 SUB2 A Y X25ROU010 X25ROU010
