%LABEL CD_BIN_91932
%TYPE CONDIST
!
!JULY ADS2
!PRODUCT NAME UPI INST VERSION KIT CH DIS ROOT SAVESET(S)
!------------------------------------------------------------------------------------------------------------------
"SESSION SUPPORT UTILITY" VE3A Y V1.1 SUB A Y SSU011 SSU011
"SPATIAL/II" **** Y V1.1 SUB A Y S2011 S2011
"TERMINAL SERVER MANAGER" VDHA Y V1.2 SUB A Y TSM012 TSM012
"VAX COBOL/JAPANESE" **** Y V4.2 SUB1 N Y JCOBOL042 JCOBOL042
"VAX DATATRIEVE/JAPANESE" 898J Y V4.2 SUB N Y JDTR042 JDTR042
"VAX TU70/72 DEVICE DRIVER" 187 Y V1.2 SUB N Y TU70012 TU70012
"VAXELN ADA" A97A Y V2.0 SUB A Y VAXELN_ADA020 VAXELN_ADA020
"VAXELN TOOLKIT" 375A Y V3.2 SUB A Y ELN032 ELN032
"VAXLAB SOFTWARE LIBRARY" **** Y V1.3A SUB A Y VSL013 VSL013
"VAXPC FOR VMS" **** Y V1.0 SUB A Y VAXPC010 VAXPC010
"VIDA FOR DB2" VTWA Y V1.0 SUB N Y VIDA2010 VIDA2010
"VIDA WITH IDMS/R" B12A Y V2.2 SUB A Y VIDA022 VIDA022
"VMS WORKSTATION SOFTWARE" **** Y V4.1 SUB U Y VWS041 VWS041
"VMS WORKSTATION SOFTWARE/JAPANESE" A96J N V4.0 SUB N Y JVWS040 JVWS040
"VMS WORKSTATION SOFTWARE/JAPANESE" A96J N V4.0A PTC1 N Y JVWS040 JVWSA040
"VMS/JAPANESE" **** Y V5.1 SUB1 N Y JVMS051 JVMS051,JVMSREINS051,JDECW051,JVMSRECOVER051
"VMS/SNA" 362 Y V2.0 SUB U Y SNAVMS020 SNAVMS020
"VMS/ULTRIX CONNECTION (TM)" VHR Y V1.0 SUB1 A Y UCX010 UCX010
"VS11-VAX DRIVER" **** Y V2.5 SUB A Y VS11025 VS11025
"VS5XX DMA DRIVER" **** Y V1.0 SUB N Y VS5XX_DMA010 VS5XX_DMA010
"WPS-PLUS/VMS" AAM Y V3.0 SUB2 A Y WPLENGLISH030 WPLENGLISH030
"X25ROUTER 2000" S02 Y V1.0 SUB2 A Y X25ROU010 X25ROU010
